Equipment_Type,Temperature,Pressure,Vibration,Operating_Hours,Failure_Class
Furnace,537.34,2.06,0.0,99144,Healthy
Pump,74.24,7.99,2.84,36670,Healthy
Furnace,850.36,8.47,0.0,228007,Critical
Boiler,227.48,69.04,0.0,21536,Healthy
Heat Exchanger,86.16,4.32,0.0,55054,Healthy
Turbine,291.64,97.63,3.64,176472,Critical
Pump,71.27,15.73,0.9,41007,Healthy
Turbine,249.8,68.79,2.41,60722,Healthy
Furnace,887.09,8.71,0.0,186839,Critical
Distillation Column,230.41,6.72,0.0,168304,Warning
Storage Tank,61.47,2.28,0.0,67176,Healthy
Storage Tank,23.45,0.41,0.0,38356,Healthy
Pipeline,128.69,9.89,0.0,86452,Healthy
Boiler,335.13,100.47,0.0,203507,Critical
Reactor,356.28,29.66,0.0,66787,Healthy
Boiler,306.31,76.28,0.0,156190,Warning
Reactor,287.07,21.99,0.0,73322,Healthy
Distillation Column,357.83,8.08,0.0,260086,Failure
Reactor,210.64,67.54,0.0,169167,Warning
Cooling System,25.38,4.04,0.98,24555,Healthy
Motor,37.33,0.0,1.45,43007,Healthy
Distillation Column,258.24,3.15,0.0,66482,Healthy
Valve,240.32,48.53,0.0,165461,Critical
Pipeline,84.36,35.71,0.0,63224,Healthy
Storage Tank,52.08,1.65,0.0,105064,Healthy
Furnace,611.23,5.24,0.0,48838,Healthy
Instrumentation,115.75,38.56,0.0,80671,Critical
Pump,80.41,15.38,2.89,62955,Healthy
Turbine,152.16,63.55,3.48,106401,Warning
Instrumentation,50.97,12.82,0.0,33588,Healthy
Turbine,350.43,29.25,1.12,76953,Healthy
Storage Tank,64.77,2.43,0.0,117602,Healthy
Storage Tank,39.82,3.88,0.0,184136,Warning
Generator,69.84,0.0,1.57,17057,Healthy
Instrumentation,81.12,32.81,0.0,46769,Warning
Pipeline,33.16,16.06,0.0,105397,Healthy
Instrumentation,109.29,23.16,0.0,64021,Warning
Distillation Column,223.23,5.85,0.0,100174,Healthy
Boiler,310.78,37.06,0.0,169883,Warning
Pump,53.32,8.39,0.74,49353,Healthy
Compressor,90.55,26.62,3.08,24690,Healthy
Distillation Column,365.65,8.51,0.0,267760,Failure
Reactor,444.91,71.52,0.0,203638,Critical
Valve,90.49,28.37,0.0,68601,Healthy
Distillation Column,146.46,2.26,0.0,35792,Healthy
Instrumentation,49.59,25.74,0.0,32099,Healthy
Furnace,404.34,4.63,0.0,75596,Healthy
Turbine,174.45,55.79,2.97,69150,Healthy
Cooling System,40.47,5.27,0.86,29058,Healthy
Reactor,231.72,66.21,0.0,123888,Warning
Generator,96.81,0.0,1.03,97270,Warning
Pipeline,177.2,58.12,0.0,267443,Critical
Furnace,966.56,10.37,0.0,294284,Failure
Generator,54.1,0.0,1.42,85365,Healthy
Instrumentation,108.13,16.88,0.0,65256,Warning
Pipeline,104.53,43.27,0.0,56343,Healthy
Distillation Column,141.37,6.45,0.0,132006,Warning
Boiler,240.02,30.92,0.0,17639,Healthy
Reactor,312.52,51.14,0.0,76105,Healthy
Valve,83.47,17.19,0.0,39236,Healthy
Motor,69.02,0.0,1.45,22986,Healthy
Valve,268.84,52.44,0.0,201258,Failure
Compressor,173.78,57.94,1.68,123092,Critical
Distillation Column,213.16,1.17,0.0,92342,Healthy
Pipeline,157.01,40.82,0.0,147012,Warning
Distillation Column,129.57,4.17,0.0,42777,Healthy
Heat Exchanger,177.34,4.5,0.0,78447,Healthy
Compressor,59.62,16.41,3.88,75514,Warning
Distillation Column,138.45,3.24,0.0,24956,Healthy
Distillation Column,320.02,7.67,0.0,175666,Critical
Reactor,486.48,80.77,0.0,250755,Failure
Valve,37.84,16.52,0.0,73009,Healthy
Turbine,443.17,28.73,3.88,168671,Critical
Pump,78.81,15.97,2.69,67752,Healthy
Boiler,358.48,126.33,0.0,295500,Failure
Valve,153.81,16.8,0.0,57699,Healthy
Heat Exchanger,88.5,19.28,0.0,21977,Healthy
Distillation Column,121.43,4.83,0.0,77299,Healthy
Storage Tank,58.39,1.24,0.0,92252,Healthy
Turbine,159.99,47.36,2.35,27856,Healthy
Motor,68.8,0.0,1.82,26306,Healthy
Turbine,312.43,40.22,2.66,61950,Healthy
Pipeline,182.49,63.21,0.0,278376,Failure
Generator,38.14,0.0,1.22,46365,Healthy
Storage Tank,60.34,2.19,0.0,116425,Healthy
Reactor,427.97,72.17,0.0,196605,Critical
Storage Tank,72.76,1.37,0.0,172658,Warning
Turbine,332.62,57.16,1.98,19804,Healthy
Distillation Column,342.7,7.46,0.0,181743,Critical
Cooling System,44.51,6.69,1.36,50112,Healthy
Furnace,561.2,4.32,0.0,79134,Healthy
Distillation Column,333.68,7.54,0.0,228637,Critical
Boiler,245.17,34.2,0.0,60527,Healthy
Furnace,414.01,5.98,0.0,104149,Healthy
Storage Tank,63.85,1.93,0.0,49158,Healthy
Boiler,261.02,68.1,0.0,51680,Healthy
Instrumentation,37.82,28.18,0.0,27285,Healthy
Turbine,427.03,97.23,2.63,190708,Critical
Valve,26.71,42.28,0.0,117334,Warning
Pipeline,174.87,56.47,0.0,225357,Critical
Motor,51.41,0.0,2.09,8417,Healthy
Generator,70.98,0.0,1.01,73159,Healthy
Heat Exchanger,136.88,9.21,0.0,86800,Healthy
Generator,52.89,0.0,0.63,28118,Healthy
Reactor,305.32,40.4,0.0,16489,Healthy
Distillation Column,245.48,6.38,0.0,130841,Warning
Instrumentation,21.11,10.35,0.0,23480,Healthy
Turbine,248.31,34.3,1.74,51754,Healthy
Boiler,244.81,27.66,0.0,14543,Healthy
Storage Tank,32.55,0.8,0.0,68011,Healthy
Distillation Column,325.24,7.93,0.0,233160,Critical
Compressor,125.36,33.59,3.01,58221,Healthy
Boiler,306.71,83.54,0.0,120100,Warning
Storage Tank,73.87,2.8,0.0,158353,Warning
Furnace,383.89,7.23,0.0,114021,Warning
Distillation Column,228.51,5.19,0.0,88018,Healthy
Heat Exchanger,166.09,13.46,0.0,18847,Healthy
Turbine,223.22,35.56,1.68,75509,Healthy
Generator,60.21,0.0,0.61,28882,Healthy
Cooling System,40.57,9.24,1.98,145874,Critical
Distillation Column,210.38,1.09,0.0,67966,Healthy
Turbine,424.31,73.45,3.69,166262,Critical
Reactor,331.7,57.63,0.0,96032,Healthy
Reactor,204.43,56.93,0.0,49061,Healthy
Compressor,67.13,56.89,4.42,125710,Critical
Cooling System,22.46,6.17,0.51,35160,Healthy
Motor,71.22,0.0,1.56,26384,Healthy
Boiler,209.42,79.02,0.0,89493,Healthy
Storage Tank,57.21,1.25,0.0,84108,Healthy
Storage Tank,29.8,0.16,0.0,27771,Healthy
Pump,78.12,15.02,1.7,15847,Healthy
Pump,112.68,13.71,4.19,117052,Critical
Instrumentation,13.29,33.52,0.0,42050,Warning
Pipeline,102.23,43.72,0.0,22726,Healthy
Compressor,158.49,27.88,2.03,64648,Warning
Generator,62.39,0.0,0.69,16207,Healthy
Cooling System,17.62,4.83,0.79,61345,Healthy
Pipeline,155.31,15.03,0.0,153200,Warning
Distillation Column,197.44,4.56,0.0,57887,Healthy
Generator,36.14,0.0,0.74,57612,Healthy
Boiler,164.21,67.44,0.0,36401,Healthy
Boiler,256.95,78.8,0.0,94296,Healthy
Generator,73.06,0.0,0.69,21281,Healthy
Motor,43.96,0.0,1.26,24432,Healthy
Reactor,290.52,32.7,0.0,46559,Healthy
Cooling System,29.33,2.11,1.51,68147,Healthy
Boiler,240.57,51.9,0.0,101390,Healthy
Generator,107.39,0.0,2.09,152937,Critical
Instrumentation,42.15,25.74,0.0,16162,Healthy
Generator,53.97,0.0,0.66,41136,Healthy
Turbine,309.03,61.21,0.54,85900,Healthy
Furnace,345.9,1.57,0.0,61263,Healthy
Pipeline,89.1,9.73,0.0,115656,Healthy
Compressor,122.75,45.34,1.48,92791,Warning
Heat Exchanger,232.8,25.13,0.0,167858,Critical
Valve,229.68,48.86,0.0,163556,Critical
Pump,62.92,15.3,1.33,53221,Healthy
Distillation Column,192.81,4.8,0.0,58996,Healthy
Compressor,114.0,30.71,2.25,61522,Healthy
Pipeline,174.66,58.91,0.0,239515,Critical
Generator,41.24,0.0,1.13,30815,Healthy
Reactor,236.78,57.26,0.0,28356,Healthy
Boiler,261.17,33.55,0.0,54007,Healthy
Storage Tank,66.56,3.15,0.0,18231,Healthy
Turbine,478.95,98.69,4.14,231632,Failure
Instrumentation,4.18,29.3,0.0,38152,Healthy
Heat Exchanger,87.67,12.44,0.0,69795,Healthy
Furnace,552.65,3.37,0.0,99490,Healthy
Motor,37.56,0.0,1.24,19697,Healthy
Distillation Column,334.08,7.71,0.0,182795,Critical
Motor,88.68,0.0,2.91,107327,Critical
Heat Exchanger,152.81,15.15,0.0,34329,Healthy
Valve,158.15,26.63,0.0,47770,Healthy
Instrumentation,38.34,33.15,0.0,46167,Warning
Reactor,255.34,53.34,0.0,72379,Healthy
Pipeline,76.73,38.37,0.0,121671,Healthy
Motor,39.6,0.0,0.75,23676,Healthy
Turbine,170.49,65.75,3.26,99384,Warning
Storage Tank,39.37,3.87,0.0,150274,Warning
Pipeline,48.86,19.5,0.0,76760,Healthy
Boiler,165.37,22.24,0.0,15174,Healthy
Instrumentation,8.55,6.47,0.0,39435,Healthy
Pump,40.11,8.06,1.78,24678,Healthy
Pipeline,86.68,25.99,0.0,42310,Healthy
Instrumentation,125.47,42.53,0.0,99132,Failure
Reactor,250.98,59.04,0.0,96251,Healthy
Instrumentation,14.61,27.66,0.0,36419,Healthy
Distillation Column,198.28,1.63,0.0,71633,Healthy
Reactor,301.96,26.29,0.0,46194,Healthy
Compressor,125.86,42.32,3.74,97631,Warning
Boiler,195.3,20.68,0.0,23049,Healthy
Valve,171.33,41.19,0.0,124712,Warning
Boiler,167.79,68.36,0.0,37901,Healthy
Heat Exchanger,94.26,19.23,0.0,58500,Healthy
Compressor,113.14,46.96,3.06,102391,Warning
Instrumentation,118.88,40.09,0.0,107926,Failure
Reactor,317.51,47.08,0.0,46696,Healthy
Pump,40.36,18.94,1.11,77781,Warning
Valve,93.64,22.5,0.0,13178,Healthy
Pump,41.17,16.05,2.88,28745,Healthy
Valve,246.07,54.71,0.0,219862,Failure
Motor,43.52,0.0,2.07,18952,Healthy
Turbine,193.72,82.12,2.55,111272,Warning
Pump,106.36,21.1,1.03,134677,Critical
Valve,141.16,9.38,0.0,28151,Healthy
Pump,67.82,14.96,2.86,17627,Healthy
Compressor,50.13,20.65,1.1,57693,Healthy
Motor,89.19,0.0,2.69,115107,Critical
Pump,86.43,23.58,3.78,117883,Critical
Compressor,147.14,20.52,2.83,93148,Warning
Boiler,183.79,47.5,0.0,40049,Healthy
Instrumentation,2.39,14.14,0.0,34361,Healthy
Instrumentation,47.74,25.57,0.0,12166,Healthy
Distillation Column,139.94,4.19,0.0,93963,Healthy
Distillation Column,294.86,3.76,0.0,122816,Warning
Motor,41.72,0.0,0.81,23032,Healthy
Cooling System,27.34,3.79,0.89,36579,Healthy
Turbine,190.5,27.57,1.16,53144,Healthy
Storage Tank,65.51,2.5,0.0,18535,Healthy
Motor,40.66,0.0,0.99,35439,Healthy
Pipeline,94.03,28.77,0.0,71241,Healthy
Heat Exchanger,142.49,6.69,0.0,17784,Healthy
Furnace,692.33,1.49,0.0,70675,Healthy
Boiler,163.56,57.88,0.0,15489,Healthy
Boiler,225.29,71.24,0.0,75301,Healthy
Boiler,254.02,40.72,0.0,58199,Healthy
Pump,69.48,7.61,2.57,36752,Healthy
Pump,45.55,13.59,2.29,15454,Healthy
Generator,46.84,0.0,0.56,33187,Healthy
Pipeline,84.33,52.87,0.0,163878,Warning
Furnace,968.59,10.02,0.0,270620,Failure
Boiler,158.33,46.92,0.0,23491,Healthy
Cooling System,15.23,3.71,0.87,54547,Healthy
Compressor,77.08,17.33,1.06,21421,Healthy
Motor,96.59,0.0,3.07,140384,Failure
Pipeline,99.82,39.79,0.0,68287,Healthy
Generator,40.92,0.0,1.92,126043,Warning
Boiler,196.43,49.35,0.0,93248,Healthy
Pipeline,184.2,63.06,0.0,300164,Failure
Distillation Column,313.63,1.03,0.0,160870,Warning
Compressor,80.06,30.01,2.69,18308,Healthy
Heat Exchanger,256.83,32.14,0.0,199415,Failure
Motor,82.23,0.0,1.9,73561,Warning
Cooling System,39.26,6.42,0.7,17966,Healthy
Heat Exchanger,87.72,16.92,0.0,60454,Healthy
Storage Tank,20.22,0.24,0.0,136867,Healthy
Turbine,279.12,35.92,1.77,18718,Healthy
Instrumentation,4.66,33.96,0.0,64114,Warning
Pipeline,162.37,15.24,0.0,175487,Warning
Valve,158.72,23.53,0.0,57222,Healthy
Cooling System,20.23,6.7,0.86,45590,Healthy
Instrumentation,122.36,41.9,0.0,106671,Failure
Heat Exchanger,179.73,12.7,0.0,71252,Healthy
Storage Tank,72.93,2.39,0.0,178907,Warning
Pump,76.53,7.0,2.51,39380,Healthy
Furnace,479.34,2.47,0.0,67989,Healthy
Reactor,342.72,44.13,0.0,70126,Healthy
Cooling System,45.88,4.47,1.45,16669,Healthy
Cooling System,23.62,7.31,0.99,93957,Warning
Heat Exchanger,158.01,7.71,0.0,47020,Healthy
Pipeline,162.53,45.03,0.0,150198,Warning
Valve,25.3,25.46,0.0,69559,Healthy
Motor,102.62,0.0,3.1,130672,Failure
Pipeline,162.82,11.97,0.0,191703,Warning
Boiler,296.87,51.97,0.0,112450,Warning
Instrumentation,83.34,2.3,0.0,30050,Healthy
Pipeline,119.12,36.28,0.0,61827,Healthy
Pipeline,169.55,57.34,0.0,207272,Critical
Motor,103.7,0.0,3.03,142687,Failure
Generator,105.3,0.0,2.4,145744,Critical
Valve,63.91,22.33,0.0,31037,Healthy
Valve,185.68,20.07,0.0,51665,Healthy
Cooling System,58.0,8.29,0.87,143538,Critical
Instrumentation,114.64,38.98,0.0,93243,Critical
Heat Exchanger,209.51,19.86,0.0,113878,Warning
Distillation Column,347.12,8.03,0.0,242309,Failure
Heat Exchanger,212.16,15.08,0.0,102611,Warning
Turbine,243.31,90.97,3.89,160486,Critical
Generator,62.9,0.0,0.98,11518,Healthy
Cooling System,23.78,6.25,1.12,12670,Healthy
Motor,93.25,0.0,2.71,100468,Critical
Generator,95.74,0.0,1.17,113680,Warning
Pump,64.98,11.25,3.24,95727,Warning
Instrumentation,116.6,36.2,0.0,80795,Critical
Pipeline,120.58,36.2,0.0,27731,Healthy
Distillation Column,193.86,3.07,0.0,30398,Healthy
Motor,81.72,0.0,1.03,62177,Warning
Heat Exchanger,169.98,5.15,0.0,81692,Healthy
Instrumentation,87.87,10.64,0.0,9345,Healthy
Cooling System,53.06,3.57,0.95,80539,Warning
Cooling System,45.9,9.04,1.83,128831,Critical
Turbine,442.16,20.43,3.82,160376,Critical
Valve,237.26,47.63,0.0,190206,Critical
Instrumentation,60.98,14.39,0.0,11848,Healthy
Reactor,227.07,46.34,0.0,64819,Healthy
Turbine,336.14,21.89,2.3,57696,Healthy
Distillation Column,184.91,2.49,0.0,43679,Healthy
Heat Exchanger,160.36,16.97,0.0,75427,Healthy
Motor,99.81,0.0,3.25,132335,Failure
Turbine,443.13,63.29,3.77,150345,Critical
Boiler,236.65,46.74,0.0,104962,Healthy
Cooling System,27.3,6.12,1.43,9640,Healthy
Pump,72.0,11.17,2.74,20970,Healthy
Pump,45.6,7.14,2.03,65322,Healthy
Cooling System,32.92,7.21,1.45,74833,Warning
Storage Tank,66.34,2.55,0.0,129177,Healthy
Instrumentation,106.5,11.72,0.0,58334,Warning
Instrumentation,107.45,25.62,0.0,52554,Warning
Compressor,158.09,35.01,1.34,84808,Warning
Heat Exchanger,112.63,22.84,0.0,125339,Warning
Pipeline,153.28,10.53,0.0,156050,Warning
Instrumentation,71.14,28.2,0.0,29424,Healthy
Furnace,338.04,7.96,0.0,122900,Warning
Turbine,425.74,96.41,2.87,164023,Critical
Valve,92.14,12.69,0.0,66442,Healthy
Valve,114.05,8.68,0.0,30880,Healthy
Pump,53.7,10.95,3.5,106443,Warning
Heat Exchanger,180.56,14.79,0.0,44973,Healthy
Instrumentation,115.4,36.21,0.0,90937,Critical
Motor,52.21,0.0,1.21,37309,Healthy
Reactor,444.44,73.2,0.0,196183,Critical
Boiler,217.12,94.02,0.0,156304,Warning
Instrumentation,38.49,26.79,0.0,29929,Healthy
Pipeline,45.02,33.92,0.0,109796,Healthy
Boiler,223.3,95.73,0.0,166685,Warning
Motor,35.86,0.0,0.99,39961,Healthy
Pipeline,99.66,33.67,0.0,22830,Healthy
Pump,74.93,19.74,2.04,77702,Warning
Pump,84.42,15.58,2.11,61786,Healthy
Pipeline,168.62,58.79,0.0,275193,Critical
Heat Exchanger,227.27,28.0,0.0,186364,Critical
Instrumentation,17.55,31.73,0.0,58249,Warning
Generator,71.71,0.0,1.38,80896,Healthy
Pump,53.46,13.18,1.93,12181,Healthy
Pipeline,152.44,11.55,0.0,141443,Warning
Heat Exchanger,268.1,32.06,0.0,232456,Failure
Motor,60.19,0.0,2.1,43575,Healthy
Pipeline,149.0,42.3,0.0,177716,Warning
Turbine,170.5,51.75,1.42,58939,Healthy
Pump,76.27,18.65,0.76,85038,Warning
Furnace,947.65,10.73,0.0,287244,Failure
Generator,92.19,0.0,0.66,135358,Warning
Motor,48.03,0.0,2.49,57654,Warning
Pump,79.78,10.15,2.56,62129,Healthy
Cooling System,59.84,9.36,1.25,121565,Critical
Compressor,53.06,41.64,2.1,18591,Healthy
Boiler,348.24,124.53,0.0,240921,Failure
Cooling System,16.8,4.86,1.02,14116,Healthy
Pipeline,172.75,55.48,0.0,218088,Critical
Motor,50.18,0.0,2.29,54501,Warning
Motor,35.6,0.0,1.12,51948,Healthy
Reactor,215.94,45.91,0.0,16307,Healthy
Pump,63.55,9.29,1.19,10809,Healthy
Motor,59.5,0.0,0.54,13822,Healthy
Turbine,156.65,32.95,2.96,79053,Healthy
Boiler,151.05,43.25,0.0,77671,Healthy
Cooling System,40.81,3.67,1.01,10974,Healthy
Furnace,837.12,1.12,0.0,149652,Warning
Furnace,871.16,8.07,0.0,230768,Critical
Compressor,60.04,38.26,3.89,82188,Warning
Valve,170.99,44.3,0.0,117704,Warning
Pipeline,24.34,6.68,0.0,92822,Healthy
Turbine,428.63,52.39,3.51,145535,Critical
Storage Tank,60.26,3.96,0.0,180657,Warning
Reactor,403.38,28.15,0.0,165123,Warning
Generator,59.29,0.0,1.46,44335,Healthy
Boiler,346.95,119.49,0.0,249699,Failure
Reactor,313.99,36.15,0.0,30720,Healthy
Instrumentation,121.6,40.08,0.0,116998,Failure
Motor,59.4,0.0,2.38,69388,Warning
Instrumentation,113.83,38.36,0.0,69398,Critical
Storage Tank,76.44,2.23,0.0,157559,Warning
Valve,160.7,16.59,0.0,61383,Healthy
Reactor,278.6,56.35,0.0,63507,Healthy
Storage Tank,66.98,3.15,0.0,126858,Healthy
Distillation Column,345.36,8.27,0.0,237673,Failure
Heat Exchanger,123.87,15.9,0.0,78083,Healthy
Heat Exchanger,96.52,16.11,0.0,13471,Healthy
Distillation Column,202.16,2.72,0.0,68492,Healthy
Reactor,345.5,66.47,0.0,128690,Warning
Distillation Column,264.82,4.62,0.0,57522,Healthy
Generator,74.14,0.0,1.65,62841,Healthy
Distillation Column,209.59,5.76,0.0,45352,Healthy
Instrumentation,52.84,13.05,0.0,9501,Healthy
Pump,84.75,5.71,2.47,29937,Healthy
Distillation Column,363.72,8.64,0.0,238990,Failure
Cooling System,25.73,2.66,1.47,20468,Healthy
Turbine,334.34,73.53,2.58,24172,Healthy
Pipeline,29.22,51.9,0.0,172111,Warning
Generator,104.61,0.0,2.08,178724,Critical
Pipeline,26.56,37.78,0.0,24915,Healthy
Instrumentation,107.76,13.59,0.0,53588,Warning
Instrumentation,4.66,2.65,0.0,32692,Healthy
Reactor,252.69,40.7,0.0,31070,Healthy
Pump,45.8,13.92,0.71,16440,Healthy
Reactor,315.61,64.56,0.0,114120,Warning
Pipeline,158.78,18.06,0.0,156362,Warning
Heat Exchanger,148.06,15.3,0.0,76810,Healthy
Heat Exchanger,145.87,14.66,0.0,13056,Healthy
Distillation Column,132.55,4.51,0.0,35059,Healthy
Pipeline,63.12,21.36,0.0,85452,Healthy
Pump,103.19,5.53,2.82,102782,Warning
Heat Exchanger,165.23,18.09,0.0,23382,Healthy
Cooling System,29.2,4.62,0.84,44056,Healthy
Instrumentation,11.48,25.83,0.0,26231,Healthy
Heat Exchanger,86.88,6.43,0.0,25177,Healthy
Turbine,489.21,101.06,4.19,234815,Failure
Furnace,475.03,4.3,0.0,73467,Healthy
Valve,125.52,20.82,0.0,11341,Healthy
Boiler,234.12,70.27,0.0,33307,Healthy
Cooling System,38.88,5.08,1.06,28959,Healthy
Reactor,330.91,30.1,0.0,105026,Healthy
Furnace,396.74,3.95,0.0,48584,Healthy
Pipeline,107.63,54.23,0.0,131331,Warning
Generator,115.67,0.0,2.51,214543,Failure
Distillation Column,215.07,2.4,0.0,102654,Healthy
Compressor,55.32,30.84,2.99,55145,Healthy
Motor,58.33,0.0,2.46,79767,Warning
Valve,211.98,10.04,0.0,122775,Warning
Pump,103.0,8.79,2.35,111116,Warning
Turbine,156.72,26.4,2.92,72538,Healthy
Generator,46.82,0.0,1.58,23152,Healthy
Instrumentation,68.54,31.81,0.0,47117,Warning
Distillation Column,125.55,3.23,0.0,78212,Healthy
Furnace,883.76,9.75,0.0,181669,Critical
Storage Tank,95.43,5.28,0.0,327616,Failure
Reactor,212.34,53.0,0.0,39657,Healthy
Pump,49.0,18.81,2.88,98417,Warning
Pipeline,162.17,12.75,0.0,176210,Warning
Reactor,254.93,51.04,0.0,98254,Healthy
Reactor,182.35,44.27,0.0,50852,Healthy
Turbine,324.42,58.25,2.89,41724,Healthy
Storage Tank,91.86,5.36,0.0,354522,Failure
Furnace,706.48,5.04,0.0,34738,Healthy
Pump,63.09,14.23,2.96,56182,Healthy
Distillation Column,131.43,3.77,0.0,15580,Healthy
Instrumentation,75.23,17.43,0.0,19649,Healthy
Compressor,55.65,31.39,1.52,56758,Healthy
Storage Tank,88.73,5.48,0.0,319759,Failure
Distillation Column,379.19,8.22,0.0,266339,Failure
Heat Exchanger,93.24,11.69,0.0,72703,Healthy
Boiler,215.07,51.28,0.0,101196,Healthy
Heat Exchanger,80.21,14.62,0.0,45663,Healthy
Heat Exchanger,146.73,10.02,0.0,74399,Healthy
Heat Exchanger,94.22,23.71,0.0,127873,Warning
Compressor,114.62,24.94,3.31,52260,Healthy
Turbine,330.78,96.31,3.95,148489,Critical
Compressor,66.71,19.0,3.72,88728,Warning
Distillation Column,182.83,2.57,0.0,44867,Healthy
Pump,40.33,12.97,1.11,17918,Healthy
Cooling System,37.3,7.33,0.91,84927,Warning
Turbine,291.79,24.06,1.34,15750,Healthy
Generator,96.8,0.0,1.65,108576,Warning
Turbine,316.95,28.85,1.2,48702,Healthy
Heat Exchanger,262.63,31.62,0.0,236327,Failure
Turbine,423.42,34.63,3.64,159992,Critical
Distillation Column,296.01,1.34,0.0,115797,Warning
Furnace,568.04,5.34,0.0,75596,Healthy
Generator,53.41,0.0,1.35,13801,Healthy
Distillation Column,310.13,3.96,0.0,122252,Warning
Furnace,511.58,7.83,0.0,129423,Warning
Storage Tank,75.21,1.03,0.0,181323,Warning
Pipeline,40.29,38.12,0.0,121812,Healthy
Instrumentation,84.55,16.33,0.0,8563,Healthy
Turbine,396.62,76.12,0.78,128510,Warning
Boiler,190.06,99.43,0.0,130547,Warning
Furnace,617.89,7.45,0.0,112345,Warning
Motor,102.65,0.0,3.1,133230,Failure
Cooling System,16.62,2.03,1.02,42360,Healthy
Boiler,171.13,74.16,0.0,14511,Healthy
Storage Tank,87.14,4.69,0.0,251139,Critical
Furnace,978.85,10.43,0.0,245555,Failure
Distillation Column,320.51,7.67,0.0,175894,Critical
Motor,49.44,0.0,1.92,25182,Healthy
Reactor,439.46,76.02,0.0,227486,Critical
Pipeline,27.26,9.35,0.0,85393,Healthy
Valve,112.59,4.71,0.0,70463,Healthy
Storage Tank,79.42,1.36,0.0,152574,Warning
Generator,99.45,0.0,0.66,134344,Warning
Valve,224.69,46.95,0.0,156005,Critical
Distillation Column,254.96,4.96,0.0,55548,Healthy
Valve,143.59,7.99,0.0,21084,Healthy
Valve,150.97,32.3,0.0,57360,Healthy
Pipeline,74.56,6.0,0.0,99851,Healthy
Valve,133.98,43.0,0.0,105693,Warning
Pipeline,109.5,10.86,0.0,74327,Healthy
Cooling System,43.32,3.64,1.08,55806,Healthy
Pump,81.38,16.2,2.79,16082,Healthy
Pump,79.79,12.54,2.54,21083,Healthy
Motor,55.16,0.0,1.89,6752,Healthy
Furnace,687.84,6.49,0.0,35507,Healthy
Generator,93.04,0.0,0.77,87910,Warning
Generator,106.78,0.0,2.22,188676,Critical
Furnace,662.65,3.1,0.0,35691,Healthy
Compressor,83.58,42.43,1.98,30000,Healthy
Pump,53.34,5.19,2.71,65818,Healthy
Valve,179.11,14.04,0.0,48191,Healthy
Distillation Column,253.37,2.02,0.0,24577,Healthy
Distillation Column,320.55,7.21,0.0,196142,Critical
Pump,64.71,19.34,2.97,73332,Warning
Furnace,343.08,7.22,0.0,124957,Warning
Storage Tank,65.71,3.94,0.0,213071,Warning
Generator,63.55,0.0,1.3,33386,Healthy
Instrumentation,115.89,39.34,0.0,84619,Critical
Turbine,155.95,22.7,1.51,44229,Healthy
Instrumentation,50.04,2.23,0.0,16146,Healthy
Reactor,272.71,67.04,0.0,126249,Warning
Boiler,233.86,55.33,0.0,92397,Healthy
Generator,42.99,0.0,0.85,45839,Healthy
Valve,22.02,30.38,0.0,73519,Healthy
Motor,64.29,0.0,0.69,52439,Healthy
Valve,129.55,44.93,0.0,127117,Warning
Generator,67.51,0.0,0.98,41756,Healthy
Reactor,241.6,37.93,0.0,89325,Healthy
Valve,96.55,16.32,0.0,23947,Healthy
Cooling System,21.21,7.34,0.96,92574,Warning
Reactor,266.0,58.67,0.0,30985,Healthy
Instrumentation,110.64,37.72,0.0,86878,Critical
Generator,113.37,0.0,2.55,212008,Failure
Compressor,87.46,29.9,2.37,57655,Healthy
Valve,77.62,23.83,0.0,31211,Healthy
Turbine,229.43,51.86,1.64,86338,Healthy
Motor,54.21,0.0,2.08,39540,Healthy
Motor,78.21,0.0,2.07,80217,Warning
Pump,61.33,15.15,1.04,62189,Healthy
Boiler,207.57,25.06,0.0,84893,Healthy
Turbine,180.81,20.89,3.22,113726,Warning
Valve,229.32,48.16,0.0,154270,Critical
Compressor,185.6,62.02,5.1,150945,Failure
Turbine,242.4,29.03,0.57,77668,Healthy
Valve,168.25,14.16,0.0,63509,Healthy
Instrumentation,44.78,9.97,0.0,29526,Healthy
Instrumentation,125.44,43.83,0.0,117310,Failure
Cooling System,24.35,5.52,0.55,13108,Healthy
Cooling System,18.09,6.64,0.66,15633,Healthy
Compressor,129.25,23.11,3.07,57804,Healthy
Furnace,886.2,9.19,0.0,230634,Critical
Storage Tank,56.48,2.84,0.0,92368,Healthy
Pipeline,43.12,27.05,0.0,15667,Healthy
Instrumentation,105.47,0.87,0.0,64014,Warning
Turbine,159.99,22.01,2.55,77794,Healthy
Heat Exchanger,218.86,7.25,0.0,115276,Warning
Pump,123.68,26.29,4.82,180332,Failure
Motor,52.9,0.0,1.48,9312,Healthy
Cooling System,35.71,9.98,1.94,128018,Critical
Reactor,195.91,33.79,0.0,64433,Healthy
Generator,40.82,0.0,0.68,83466,Healthy
Boiler,350.94,127.05,0.0,240104,Failure
Reactor,191.38,67.03,0.0,130200,Warning
Boiler,158.02,61.93,0.0,56603,Healthy
Turbine,233.73,76.16,1.08,20287,Healthy
Furnace,601.62,4.0,0.0,80058,Healthy
Boiler,224.43,28.41,0.0,100106,Healthy
Heat Exchanger,174.96,24.8,0.0,111120,Warning
Pump,120.1,24.98,4.85,181418,Failure
